Organism,Genus,G.Size (MB),G.Size (pg),Angiosperm Group
Aster oblongifolius,Aster,1858.2,1.9,Eudicot
Aster lanceolatus,Aster,2650.38,2.71,Eudicot
Aster riparius,Aster,2963.34,3.03,Eudicot
Aster tripolium,Aster,10484.16,10.72,Eudicot
Astragalus angustifolius,Astragalus,713.94,0.73,Eudicot
Astragalus glycyphyllos,Astragalus,733.5,0.75,Eudicot
Astragalus vesicarius,Astragalus,1124.7,1.15,Eudicot
Astrodaucus orientalis,Astrodaucus,4792.2,4.9,Eudicot
Astrodaucus littoralis,Astrodaucus,5066.04,5.18,Eudicot
Astrophytum ornatum,Astrophytum,1789.74,1.83,Eudicot
Atalantia ceylanica,Atalantia,518.34,0.53,Eudicot
Atalantia monophylla,Atalantia,567.24,0.58,Eudicot
Atractylis preauxiana,Atractylis,3902.22,3.99,Eudicot
Atriplex sabulosa,Atriplex,420.54,0.43,Eudicot
Atriplex serenana,Atriplex,420.54,0.43,Eudicot
Atriplex californica,Atriplex,420.54,0.43,Eudicot
Atriplex phyllostegia,Atriplex,469.44,0.48,Eudicot
Atriplex truncata,Atriplex,567.24,0.58,Eudicot
Atriplex triangularis,Atriplex,684.6,0.7,Eudicot
Atriplex fruticulosa,Atriplex,733.5,0.75,Eudicot
Atriplex prostrata,Atriplex,743.28,0.76,Eudicot
Atriplex semibaccata,Atriplex,831.3,0.85,Eudicot
Atriplex portulacoides,Atriplex,899.76,0.92,Eudicot
Atriplex stipitata,Atriplex,899.76,0.92,Eudicot
Atriplex rosea,Atriplex,929.1,0.95,Eudicot
Atriplex hortensis,Atriplex,1154.04,1.18,Eudicot
Atriplex halimus,Atriplex,1193.16,1.22,Eudicot
Atriplex vesicaria,Atriplex,1467,1.5,Eudicot
Atriplex polycarpa,Atriplex,1486.56,1.52,Eudicot
Atriplex canescens,Atriplex,1603.92,1.64,Eudicot
Atriplex patula,Atriplex,2102.7,2.15,Eudicot
Atriplex halimus,Atriplex,2337.42,2.39,Eudicot
Atriplex nummularia,Atriplex,2924.22,2.99,Eudicot
Atropa bella-donna,Atropa,1907.1,1.95,Eudicot
Aubrieta deltoidea,Aubrieta,410.76,0.42,Eudicot
Aucuba japonica,Aucuba,12567.3,12.85,Eudicot
Australopyrum calcis,Australopyrum,5515.92,5.64,Monocot
Austrobaileya scandens,Austrobaileya,9310.56,9.52,Basal Angiosperm
Austrodanthonia caespitosa,Austrodanthonia,2914.44,2.98,Monocot
Austrofestuca littoralis,Austrofestuca,3628.38,3.71,Monocot
Austrostipa stipoides,Austrostipa,1545.24,1.58,Monocot
Avena strigosa,Avena,3912,4,Monocot
Avena hirtula,Avena,4303.2,4.4,Monocot
Avena nudi-brevis,Avena,4303.2,4.4,Monocot
Avena brevis,Avena,4625.94,4.73,Monocot
Avena pilosa,Avena,4625.94,4.73,Monocot
Avena abyssinica,Avena,4694.4,4.8,Monocot
Avena wiestii,Avena,5017.14,5.13,Monocot
Avena clauda,Avena,5163.84,5.28,Monocot
Avena longiglumis,Avena,5212.74,5.33,Monocot
Avena ventricosa,Avena,5359.44,5.48,Monocot
Avena vaviloviana,Avena,8313,8.5,Monocot
Avena barbata,Avena,8733.54,8.93,Monocot
Avena abyssinica,Avena,8753.1,8.95,Monocot
Avena magna,Avena,9095.4,9.3,Monocot
Avena ludoviciana,Avena,12254.34,12.53,Monocot
Avena nuda,Avena,12645.54,12.93,Monocot
Avena sativa,Avena,12938.94,13.23,Monocot
Avena sterilis,Avena,13349.7,13.65,Monocot
Avena byzantina,Avena,13398.6,13.7,Monocot
Avena fatua,Avena,13838.7,14.15,Monocot
Avenella flexuosa,Avenella,5946.24,6.08,Monocot
Avenula pubescens,Avenula,4938.9,5.05,Monocot
Avenula pratensis,Avenula,17555.1,17.95,Monocot
Averrhoa carambola,Averrhoa,234.72,0.24,Eudicot
Azadirachta indica,Azadirachta,381.42,0.39,Eudicot
Azorina vidalii,Azorina,1046.46,1.07,Eudicot
Babiana virginea,Babiana,1496.34,1.53,Monocot
Bacopa caroliniana,Bacopa,1173.6,1.2,Eudicot
Bactris hondurensis,Bactris,3990.24,4.08,Monocot
Baileya multiradiata,Baileya,7158.96,7.32,Eudicot
Banksia marginata,Banksia,831.3,0.85,Eudicot
Barkeria lindleyana,Barkeria,1613.7,1.65,Monocot
Barringtonia acutangula,Barringtonia,1114.92,1.14,Eudicot
Basella alba,Basella,1750.62,1.79,Eudicot
Bauhinia blakeana,Bauhinia,586.8,0.6,Eudicot
Bauhinia purpurea,Bauhinia,586.8,0.6,Eudicot
Bauhinia tomentosa,Bauhinia,616.14,0.63,Eudicot
Bauhinia hookeri,Bauhinia,616.14,0.63,Eudicot
Bauhinia galpinii,Bauhinia,645.48,0.66,Eudicot
Bauhinia monandra,Bauhinia,704.16,0.72,Eudicot
Beaucarnea recurvata,Beaucarnea,8606.4,8.8,Monocot
Beccariophoenix madagascariensis,Beccariophoenix,1760.4,1.8,Monocot
Begonia venosa,Begonia,244.5,0.25,Eudicot
Begonia ulmifolia,Begonia,244.5,0.25,Eudicot
Begonia dietrichiana,Begonia,244.5,0.25,Eudicot
Begonia glaba,Begonia,254.28,0.26,Eudicot
Begonia subvillosa,Begonia,283.62,0.29,Eudicot
Begonia cucullata,Begonia,293.4,0.3,Eudicot
Begonia listada,Begonia,303.18,0.31,Eudicot
Begonia soli-mutata,Begonia,303.18,0.31,Eudicot
Begonia luxuarians,Begonia,312.96,0.32,Eudicot
Begonia echinosepala,Begonia,312.96,0.32,Eudicot
Begonia tomentosa,Begonia,332.52,0.34,Eudicot
Begonia hispida,Begonia,342.3,0.35,Eudicot
Begonia metallica,Begonia,342.3,0.35,Eudicot
Begonia schmidtiana,Begonia,371.64,0.38,Eudicot
Begonia maculata,Begonia,518.34,0.53,Eudicot
Begonia odorata,Begonia,547.68,0.56,Eudicot
Begonia coccinea,Begonia,547.68,0.56,Eudicot
Begonia undulata,Begonia,547.68,0.56,Eudicot
Begonia solananthera,Begonia,557.46,0.57,Eudicot
Begonia diadema,Begonia,567.24,0.58,Eudicot
Begonia radicans,Begonia,567.24,0.58,Eudicot
Begonia albo-picta,Begonia,567.24,0.58,Eudicot
Begonia sutherlandii,Begonia,596.58,0.61,Eudicot
Begonia socotrana,Begonia,616.14,0.63,Eudicot
Begonia partita,Begonia,616.14,0.63,Eudicot
Begonia dregei,Begonia,645.48,0.66,Eudicot
Begonia grandis,Begonia,665.04,0.68,Eudicot
Begonia manicata,Begonia,694.38,0.71,Eudicot
Begonia bowerae,Begonia,713.94,0.73,Eudicot
Begonia heracleifolia,Begonia,733.5,0.75,Eudicot
Begonia corallina,Begonia,762.84,0.78,Eudicot
Begonia fischeri,Begonia,870.42,0.89,Eudicot
Begonia serratipetala,Begonia,889.98,0.91,Eudicot
Begonia brevirimosa,Begonia,909.54,0.93,Eudicot
Begonia boliviensis,Begonia,1369.2,1.4,Eudicot
Begonia pearcei,Begonia,1427.88,1.46,Eudicot
Bellevalia sarmatica,Bellevalia,5799.54,5.93,Monocot
Bellevalia forniculata,Bellevalia,5868,6,Monocot
Bellevalia pycnantha,Bellevalia,7530.6,7.7,Monocot
Bellevalia romana,Bellevalia,8293.44,8.48,Monocot
Bellevalia rixii,Bellevalia,9085.62,9.29,Monocot
Bellevalia dubia,Bellevalia,11736,12,Monocot
Bellevalia tauri,Bellevalia,13281.24,13.58,Monocot
Bellevalia desertorum,Bellevalia,23951.22,24.49,Monocot
Bellevalia longistyla,Bellevalia,32009.94,32.73,Monocot
Bellidiastrum michelii,Bellidiastrum,1486.56,1.52,Eudicot
Bellis perennis,Bellis,1124.7,1.15,Eudicot
Bellis sylvestris,Bellis,1995.12,2.04,Eudicot
Benincasa hispida,Benincasa,1026.9,1.05,Eudicot
Benthamina alyxifolia,Benthamina,9907.14,10.13,Eudicot
Bentinckia condapanna,Bentinckia,2718.84,2.78,Monocot
Berberidopsis corallina,Berberidopsis,254.28,0.26,Eudicot
Berberis koreana,Berberis,489,0.5,Eudicot
Berberis thunbergii,Berberis,684.6,0.7,Eudicot
Berberis bidentata,Berberis,733.5,0.75,Eudicot
Berberis cabrerae,Berberis,811.74,0.83,Eudicot
Berberis montana,Berberis,831.3,0.85,Eudicot
Berberis chillanensis,Berberis,831.3,0.85,Eudicot
Berberis aggregata,Berberis,860.64,0.88,Eudicot
Berberis serrato-dentata,Berberis,909.54,0.93,Eudicot
Berberis darwinii,Berberis,1515.9,1.55,Eudicot
Berberis croatica,Berberis,1515.9,1.55,Eudicot
Berberis parodii,Berberis,1545.24,1.58,Eudicot
Berberis linearifolia,Berberis,1662.6,1.7,Eudicot
Berberis vulgaris,Berberis,1711.5,1.75,Eudicot
Berberis empetrifolia,Berberis,1789.74,1.83,Eudicot
Berberis buxifolia,Berberis,2963.34,3.03,Eudicot
Berberis heterophylla,Berberis,3031.8,3.1,Eudicot
Berrya cordifolia,Berrya,547.68,0.56,Eudicot
Berteroa incana,Berteroa,694.38,0.71,Eudicot
Beta vulgaris,Beta,1222.5,1.25,Eudicot
Beta maritima,Beta,1251.84,1.28,Eudicot
Betonica alopecuros,Betonica,2366.76,2.42,Eudicot
Betula populifolia,Betula,195.6,0.2,Eudicot
Betula nana,Betula,449.88,0.46,Eudicot
Betula nana x B. pubescens (triploid hybrid),Betula,665.04,0.68,Eudicot
Betula pubescens,Betula,880.2,0.9,Eudicot
Betula alba,Betula,880.2,0.9,Eudicot
Biarum tenuifolium,Biarum,3031.8,3.1,Monocot
Biarum olivieri,Biarum,3334.98,3.41,Monocot
Bidens frondosa,Bidens,1564.8,1.6,Eudicot
Bidens pilosa,Bidens,1691.94,1.73,Eudicot
Bidens connata,Bidens,3149.16,3.22,Eudicot
Billbergia nutans,Billbergia,371.64,0.38,Monocot
Bischofia javanica,Bischofia,1809.3,1.85,Eudicot
Biscutella auriculata,Biscutella,674.82,0.69,Eudicot
Biscutella didyma,Biscutella,772.62,0.79,Eudicot
Biscutella laevigata,Biscutella,1789.74,1.83,Eudicot
Biserrula pectinatus,Biserrula,420.54,0.43,Eudicot
Bismarckia nobilis,Bismarckia,1985.34,2.03,Monocot
Bituminaria bituminosa,Bituminaria,489,0.5,Eudicot
Bixa orellana,Bixa,195.6,0.2,Eudicot
Blackstonia perfoliata,Blackstonia,1418.1,1.45,Eudicot
Blandfordia punicea,Blandfordia,7951.14,8.13,Monocot
Blepharocalyx salicifolius,Blepharocalyx,254.28,0.26,Eudicot
Bletilla striata,Bletilla,2885.1,2.95,Monocot
Blighia sapida,Blighia,880.2,0.9,Eudicot
Boechera stricta,Boechera,234.72,0.24,Eudicot
Boechera hoelbellii,Boechera,234.72,0.24,Eudicot
Boenninghausenia albiflora,Boenninghausenia,244.5,0.25,Eudicot
Bombax ceiba,Bombax,1584.36,1.62,Eudicot
Borago officinalis,Borago,1711.5,1.75,Eudicot
Borassus flabellifer,Borassus,8410.8,8.6,Monocot
Boreava orientalis,Boreava,361.86,0.37,Eudicot
Bornmuellera tymphaea,Bornmuellera,1066.02,1.09,Eudicot
Borzicactus aurivillus,Borzicactus,1643.04,1.68,Eudicot
Bosea yervamora,Bosea,1613.7,1.65,Eudicot
Boswellia serrata,Boswellia,684.6,0.7,Eudicot
Bougainvillea peruviana,Bougainvillea,3423,3.5,Eudicot
Bougainvillea x glabra-peruviana,Bougainvillea,3647.94,3.73,Eudicot
Bougainvillea glabra,Bougainvillea,3990.24,4.08,Eudicot
Bougainvillea spectabilis,Bougainvillea,4303.2,4.4,Eudicot
Bougainvillea x glabra-peruviana,Bougainvillea,7364.34,7.53,Eudicot
Bouteloua gracilis,Bouteloua,19266.6,19.7,Monocot
Bouvardia ternifolia,Bouvardia,3305.64,3.38,Eudicot
Bowiea volubilis,Bowiea,4528.14,4.63,Monocot
Brachanthemum titovii,Brachanthemum,3413.22,3.49,Eudicot
Brachychiton discolor,Brachychiton,1134.48,1.16,Eudicot
Brachycome dichromosomatica,Brachycome,1105.14,1.13,Eudicot
Brachypodium arbuscula,Brachypodium,342.3,0.35,Monocot
Brachypodium distachyon,Brachypodium,352.08,0.36,Monocot
Brachypodium rupestre,Brachypodium,361.86,0.37,Monocot
Brachypodium sylvaticum,Brachypodium,420.54,0.43,Monocot
Brachypodium pinnatum,Brachypodium,430.32,0.44,Monocot
Brachypodium sylvaticum,Brachypodium,430.32,0.44,Monocot
Brachypodium phoenicoides,Brachypodium,733.5,0.75,Monocot
Brachypodium pinnatum,Brachypodium,743.28,0.76,Monocot
Brachypodium retusum,Brachypodium,1261.62,1.29,Monocot
Brahea dulcis,Brahea,1036.68,1.06,Monocot
Brasenia schreberi,Brasenia,1222.5,1.25,Basal Angiosperm
Brassia maculata,Brassia,1809.3,1.85,Monocot
Brassia maculata,Brassia,3618.6,3.7,Monocot
Brassia verrucosa,Brassia,3843.54,3.93,Monocot
Brassica hirta,Brassica,489,0.5,Eudicot
Brassica tournefortii,Brassica,537.9,0.55,Eudicot
Brassica campestris,Brassica,567.24,0.58,Eudicot
Brassica oleracea,Brassica,762.84,0.78,Eudicot
Brassica nigra,Brassica,762.84,0.78,Eudicot
Brassica rapa,Brassica,782.4,0.8,Eudicot
Brassica napus,Brassica,1124.7,1.15,Eudicot
Brassica juncea,Brassica,1496.34,1.53,Eudicot
Brassica carinata,Brassica,1545.24,1.58,Eudicot
Bridelia retusa,Bridelia,1222.5,1.25,Eudicot
Brighamia insignis,Brighamia,1026.9,1.05,Eudicot
Brimeura amethystina,Brimeura,8215.2,8.4,Monocot
Briza minor,Briza,2836.2,2.9,Monocot
Briza bidentata,Briza,4234.74,4.33,Monocot
Briza poaemorpha,Briza,4430.34,4.53,Monocot
Briza rufa,Briza,4792.2,4.9,Monocot
Briza brizoides,Briza,4968.24,5.08,Monocot
Briza media,Briza,5085.6,5.2,Monocot
Briza subaristata,Briza,5163.84,5.28,Monocot
Briza macrostachya,Briza,5163.84,5.28,Monocot
Briza humilis,Briza,5261.64,5.38,Monocot
Briza uniolae,Briza,5281.2,5.4,Monocot
Briza lamarckiana,Briza,5310.54,5.43,Monocot
Briza calotheca,Briza,5721.3,5.85,Monocot
Briza aff. jurgensii,Briza,5868,6,Monocot
Briza itatiaiae,Briza,5897.34,6.03,Monocot
Briza erecta,Briza,5965.8,6.1,Monocot
Briza jurgensii,Briza,6210.3,6.35,Monocot
Briza maxima,Briza,6337.44,6.48,Monocot
Briza brachychaete,Briza,6405.9,6.55,Monocot
Briza media,Briza,7383.9,7.55,Monocot
Briza stricta,Briza,11423.04,11.68,Monocot
Brocchinia acuminata,Brocchinia,371.64,0.38,Monocot
Brocchinia tatei,Brocchinia,381.42,0.39,Monocot
Brocchinia uaipanensis,Brocchinia,420.54,0.43,Monocot
Bromus pumilio,Bromus,1838.64,1.88,Monocot
Bromus erectus,Bromus,3031.8,3.1,Monocot
Bromus tectorum,Bromus,3178.5,3.25,Monocot
Bromus sterilis,Bromus,3276.3,3.35,Monocot
Bromus variegatus,Bromus,3305.64,3.38,Monocot
Bromus flabellatus,Bromus,4596.6,4.7,Monocot
Bromus rubens,Bromus,4743.3,4.85,Monocot
Bromus scoparius,Bromus,4743.3,4.85,Monocot
Bromus madritensis,Bromus,4772.64,4.88,Monocot
Bromus marginatus,Bromus,5261.64,5.38,Monocot
Bromus japonicus,Bromus,5379,5.5,Monocot
Bromus aegyptiacus,Bromus,5525.7,5.65,Monocot
Bromus brachystachys,Bromus,5603.94,5.73,Monocot
Bromus squarrosus,Bromus,5623.5,5.75,Monocot
Bromus alopecuros,Bromus,5750.64,5.88,Monocot
Bromus brizaeformis,Bromus,5799.54,5.93,Monocot
Bromus arvensis,Bromus,6112.5,6.25,Monocot
Bromus berteroanus,Bromus,6122.28,6.26,Monocot
Bromus brevis,Bromus,6141.84,6.28,Monocot
Bromus danthoniae,Bromus,6190.74,6.33,Monocot
Bromus willdenowii,Bromus,6357,6.5,Monocot
Bromus caroli-henrici,Bromus,6484.14,6.63,Monocot
Bromus haenkeanus,Bromus,6533.04,6.68,Monocot
Bromus coloratus,Bromus,6650.4,6.8,Monocot
Bromus stamineus,Bromus,6748.2,6.9,Monocot
Bromus ?valdivianus,Bromus,6797.1,6.95,Monocot
Bromus lithobius,Bromus,6836.22,6.99,Monocot
Bromus leptoclados,Bromus,6846,7,Monocot
Bromus valdivianus,Bromus,7022.04,7.18,Monocot
Bromus unioloides,Bromus,7266.54,7.43,Monocot
Bromus runssoroensis,Bromus,7383.9,7.55,Monocot
Bromus oxyodon,Bromus,7579.5,7.75,Monocot
Bromus lepidus,Bromus,7677.3,7.85,Monocot
Bromus bonariensis,Bromus,7872.9,8.05,Monocot
Bromus adoensis,Bromus,7872.9,8.05,Monocot
Bromus arenarius,Bromus,8048.94,8.23,Monocot
Bromus interruptus,Bromus,8244.54,8.43,Monocot
Bromus rigidus,Bromus,8410.8,8.6,Monocot
Bromus hordeaceus,Bromus,8978.04,9.18,Monocot
Bromus sitchensis,Bromus,9222.54,9.43,Monocot
Bromus ciliatus,Bromus,9359.46,9.57,Monocot
Bromus aleutensis,Bromus,9418.14,9.63,Monocot
Bromus parodi,Bromus,9515.94,9.73,Monocot
Bromus breviaristatus,Bromus,10200.54,10.43,Monocot
Bromus mollis,Bromus,10366.8,10.6,Monocot
Bromus commutatus,Bromus,10640.64,10.88,Monocot
Bromus marginatus,Bromus,11080.74,11.33,Monocot
Bromus carinatus,Bromus,11217.66,11.47,Monocot
Bromus maritimus,Bromus,11237.22,11.49,Monocot
Bromus brachyanthera,Bromus,11325.24,11.58,Monocot
Bromus erectus,Bromus,11393.7,11.65,Monocot
Bromus diandrus,Bromus,11687.1,11.95,Monocot
Bromus inermis,Bromus,12000.06,12.27,Monocot
Bromus intermedius,Bromus,12665.1,12.95,Monocot
Bromus racemosus,Bromus,13183.44,13.48,Monocot
Bromus arizonicus,Bromus,13496.4,13.8,Monocot
Bromus grossus,Bromus,13623.54,13.93,Monocot
Bromus secalinus,Bromus,13643.1,13.95,Monocot
Bromus macranthus,Bromus,15970.74,16.33,Monocot
Broughtonia sanguinea,Broughtonia,1026.9,1.05,Monocot
Broussonetia payprifera,Broussonetia,684.6,0.7,Eudicot
Bryonia verrucosa,Bryonia,1026.9,1.05,Eudicot
Bryonia dioica,Bryonia,1613.7,1.65,Eudicot
Bryonia alba,Bryonia,2904.66,2.97,Eudicot
Buchloe dactyloides,Buchloe,782.4,0.8,Monocot
Buddleja globosa,Buddleja,841.08,0.86,Eudicot
Buddleja lindleyana,Buddleja,919.32,0.94,Eudicot
Buddleja davidii,Buddleja,1339.86,1.37,Eudicot
Bulbine lagopus,Bulbine,7921.8,8.1,Monocot
Bulbine margarethae,Bulbine,8019.6,8.2,Monocot
Bulbine alata,Bulbine,8440.14,8.63,Monocot
Bulbine semibarbata,Bulbine,8684.64,8.88,Monocot
Bulbine alooides,Bulbine,10581.96,10.82,Monocot
Bulbine fallax,Bulbine,11178.54,11.43,Monocot
Bulbine praemorsa,Bulbine,12185.88,12.46,Monocot
Bulbine bulbosa,Bulbine,13398.6,13.7,Monocot
Bulbine bulbosa,Bulbine,14229.9,14.55,Monocot
Bulbine asphodeloides,Bulbine,14474.4,14.8,Monocot
Bulbine frutescens,Bulbine,14621.1,14.95,Monocot
Bulbine semibarbata,Bulbine,16626,17,Monocot
Bulbine hookeri,Bulbine,17652.9,18.05,Monocot
Bulbine semibarbata,Bulbine,19462.2,19.9,Monocot
Bulbine caulescens,Bulbine,21936.54,22.43,Monocot
Bulbine bulbosa,Bulbine,33398.7,34.15,Monocot
Bulbinella latifolia,Bulbinella,12127.2,12.4,Monocot
Bulbophyllum cocoinum,Bulbophyllum,2640.6,2.7,Monocot
Bulbophyllum reptans,Bulbophyllum,4058.7,4.15,Monocot
Bulnesia sarmientoi,Bulnesia,342.3,0.35,Eudicot
Bulnesia arborea,Bulnesia,440.1,0.45,Eudicot
Bulnesia foliosa,Bulnesia,489,0.5,Eudicot
Bulnesia schickendantzii,Bulnesia,567.24,0.58,Eudicot
Bulnesia bonariensis,Bulnesia,1075.8,1.1,Eudicot
Bulnesia chilensis,Bulnesia,1447.44,1.48,Eudicot
Bulnesia retama,Bulnesia,2229.84,2.28,Eudicot
Bunias erucago,Bunias,2024.46,2.07,Eudicot
Bunias orientalis,Bunias,2533.02,2.59,Eudicot
Buphthalmum salicifolium,Buphthalmum,2435.22,2.49,Eudicot
Bupleurum salicifolium,Bupleurum,772.62,0.79,Eudicot
Bupleurum fruticosum,Bupleurum,2474.34,2.53,Eudicot
Bupleurum himalayense,Bupleurum,2738.4,2.8,Eudicot
Bupleurum falcatum,Bupleurum,2787.3,2.85,Eudicot
Bupleurum candollei,Bupleurum,2836.2,2.9,Eudicot
Bupleurum longicaule,Bupleurum,3012.24,3.08,Eudicot
Butea monosperma,Butea,547.68,0.56,Eudicot
Butomus umbellatus,Butomus,4792.2,4.9,Monocot
Buxus sempervirens,Buxus,792.18,0.81,Eudicot
Buxus papillosa,Buxus,1388.76,1.42,Eudicot
Byblis liniflora,Byblis,870.42,0.89,Eudicot
Bystropogon canariensis,Bystropogon,537.9,0.55,Eudicot
Cadetia taylori,Cadetia,929.1,0.95,Monocot
Caesalpinia coriaria,Caesalpinia,831.3,0.85,Eudicot
Caesalpinia pulcherrima,Caesalpinia,1760.4,1.8,Eudicot
Caesalpinia mexicana,Caesalpinia,1956,2,Eudicot
Cajanus mollis,Cajanus,801.96,0.82,Eudicot
Cajanus cajan,Cajanus,860.64,0.88,Eudicot
Cajanus volubilis,Cajanus,1154.04,1.18,Eudicot
Cajanus albicans,Cajanus,1261.62,1.29,Eudicot
Cajanus platycarpus,Cajanus,1271.4,1.3,Eudicot
Cajanus sericeus,Cajanus,1408.32,1.44,Eudicot
Cajanus cajanifolius,Cajanus,1691.94,1.73,Eudicot
Cajanus lineatus,Cajanus,1789.74,1.83,Eudicot
Cajanus scarabaeoides,Cajanus,1838.64,1.88,Eudicot
Cajanus goensis,Cajanus,1985.34,2.03,Eudicot
Cajanus acutifolius,Cajanus,2865.54,2.93,Eudicot
Cakile maritima,Cakile,665.04,0.68,Eudicot
Caladium bicolor,Caladium,5398.56,5.52,Monocot
Caladium bicolor,Caladium,9907.14,10.13,Monocot
Calamagrostis epigeios,Calamagrostis,2151.6,2.2,Monocot
Calamus caesius,Calamus,1418.1,1.45,Monocot
Calamus subinermis,Calamus,2102.7,2.15,Monocot
Calamus viminalis,Calamus,2278.74,2.33,Monocot
Calamus ciliaris,Calamus,2542.8,2.6,Monocot
Calandrinia polyandra,Calandrinia,1046.46,1.07,Eudicot
Calanthe tricarinata,Calanthe,12958.5,13.25,Monocot
Calathea princeps,Calathea,322.74,0.33,Monocot
Calathea zebrina,Calathea,342.3,0.35,Monocot
Calathea clossoni,Calathea,371.64,0.38,Monocot
Calathea picturata,Calathea,371.64,0.38,Monocot
Calathea bachemiana,Calathea,371.64,0.38,Monocot
Calathea lietzei,Calathea,391.2,0.4,Monocot
Calathea insignis,Calathea,391.2,0.4,Monocot
Calathea undulata,Calathea,391.2,0.4,Monocot
Calathea ornata,Calathea,440.1,0.45,Monocot
Calathea kegeliana,Calathea,518.34,0.53,Monocot
Calceolaria gracilis,Calceolaria,1330.08,1.36,Eudicot
Calceolaria acutifolia,Calceolaria,1349.64,1.38,Eudicot
Calepina irregularis,Calepina,205.38,0.21,Eudicot
Calibanus hookeri,Calibanus,8850.9,9.05,Monocot
Calibrachoa pygmaea,Calibrachoa,762.84,0.78,Eudicot
Calibrachoa parviflora,Calibrachoa,938.88,0.96,Eudicot
Calibrachoa linoides,Calibrachoa,1398.54,1.43,Eudicot
Calibrachoa dusenii,Calibrachoa,1398.54,1.43,Eudicot
Calibrachoa micrantha,Calibrachoa,1408.32,1.44,Eudicot
Calibrachoa eglandulata,Calibrachoa,1408.32,1.44,Eudicot
Calibrachoa spathulata,Calibrachoa,1418.1,1.45,Eudicot
Calibrachoa ericaefolia,Calibrachoa,1437.66,1.47,Eudicot
Calibrachoa serrulata,Calibrachoa,1447.44,1.48,Eudicot
Calibrachoa sendtneriana,Calibrachoa,1447.44,1.48,Eudicot
Calibrachoa selloviana,Calibrachoa,1457.22,1.49,Eudicot
Calibrachoa heterophylla,Calibrachoa,1457.22,1.49,Eudicot
Calibrachoa macrodactylon,Calibrachoa,1476.78,1.51,Eudicot
Calibrachoa linearis,Calibrachoa,1486.56,1.52,Eudicot
Calibrachoa thymifolia,Calibrachoa,1486.56,1.52,Eudicot
Calibrachoa calycina,Calibrachoa,1506.12,1.54,Eudicot
Calibrachoa elegans,Calibrachoa,1564.8,1.6,Eudicot
Calibrachoa rupestris,Calibrachoa,1594.14,1.63,Eudicot
Calla palustris,Calla,1056.24,1.08,Monocot
Callisia repens,Callisia,6846,7,Monocot
Callisia multiflora,Callisia,7266.54,7.43,Monocot
Callisia elegans,Callisia,9046.5,9.25,Monocot
Callisia nizandensis,Callisia,9388.8,9.6,Monocot
Callisia insignis,Callisia,10934.04,11.18,Monocot
Callisia fragrans,Callisia,11520.84,11.78,Monocot
Callisia guerrerensis,Callisia,12860.7,13.15,Monocot
Callisia soconuscensis,Callisia,13574.64,13.88,Monocot
Callistemon lanceolatus,Callistemon,831.3,0.85,Eudicot
Callistemon citrinus,Callistemon,1017.12,1.04,Eudicot
Callistemon rigidus,Callistemon,1525.68,1.56,Eudicot
Callitriche lusitanica,Callitriche,880.2,0.9,Eudicot
Callitriche stagnalis,Callitriche,1202.94,1.23,Eudicot
Callitriche truncata,Callitriche,1271.4,1.3,Eudicot
Callitriche cophocarpa,Callitriche,1398.54,1.43,Eudicot
Callitriche regis-jubae,Callitriche,1418.1,1.45,Eudicot
Callitriche palustris,Callitriche,1662.6,1.7,Eudicot
Callitriche obtusangula,Callitriche,1789.74,1.83,Eudicot
Callitriche brutia,Callitriche,2669.94,2.73,Eudicot
Callitriche platycarpa,Callitriche,2718.84,2.78,Eudicot
Callitriche hamulata,Callitriche,4254.3,4.35,Eudicot
Callitriche antarctica,Callitriche,4528.14,4.63,Eudicot
Calochortus sp.,Calochortus,5232.3,5.35,Monocot
Caltha palustris,Caltha,16137,16.5,Eudicot
Calycadenia pauciflora,Calycadenia,1447.44,1.48,Eudicot
Calycanthus chemonanthis,Calycanthus,958.44,0.98,Basal Angiosperm
Calyptranthes lucida,Calyptranthes,234.72,0.24,Eudicot
Calyptranthes brasiliensis,Calyptranthes,273.84,0.28,Eudicot
Calyptrogyne sp.,Calyptrogyne,3354.54,3.43,Monocot
Calystegia sepium,Calystegia,782.4,0.8,Eudicot
Camassia cusickii,Camassia,2738.4,2.8,Monocot
Camassia leichtlinii,Camassia,2767.74,2.83,Monocot
Camassia quamash,Camassia,2982.9,3.05,Monocot
Camellia sinensis,Camellia,3814.2,3.9,Eudicot
Campanula cespitosa,Campanula,1066.02,1.09,Eudicot
Campanula rotundifolia,Campanula,1075.8,1.1,Eudicot
Campanula patula,Campanula,1349.64,1.38,Eudicot
Campanula pyramidalis,Campanula,1584.36,1.62,Eudicot
Campanula secundiflora,Campanula,1682.16,1.72,Eudicot
Campanula glomerata,Campanula,1770.18,1.81,Eudicot
Campanula americana,Campanula,2014.68,2.06,Eudicot
Campanula thyrsoides,Campanula,2317.86,2.37,Eudicot
Campanula rotundifolia,Campanula,2591.7,2.65,Eudicot
Campanula rapunculoides,Campanula,3892.44,3.98,Eudicot
Campelia zanonia,Campelia,12518.4,12.8,Monocot
Campelia standleyi,Campelia,16479.3,16.85,Monocot
Campomanesia pubescens,Campomanesia,244.5,0.25,Eudicot
Campomanesia schlechtendaliana,Campomanesia,254.28,0.26,Eudicot
Campomanesia phaea,Campomanesia,254.28,0.26,Eudicot
Campomanesia adamantium,Campomanesia,283.62,0.29,Eudicot
